symbol,total_occurrences,middle_ratio,frame_variety,is_original_core
M059,222,0.468,164,False
M347,8,1.0,8,False
M169,8,1.0,8,False
M237,8,1.0,8,False
M102,8,1.0,7,False
M272,7,1.0,7,False
M128,7,1.0,7,False
M235,7,1.0,7,False
M149,7,1.0,7,False
M383,7,1.0,7,False
M375,7,1.0,7,False
M185,7,1.0,6,False
M270,6,1.0,6,False
M401,6,1.0,6,False
M374,6,1.0,6,False
M127,6,1.0,6,False
M252,6,1.0,6,False
M386,6,1.0,6,False
M351,6,1.0,6,False
M198,6,1.0,6,False
M168,6,1.0,6,False
M332,6,1.0,6,False
M183,5,1.0,5,False
M222,5,1.0,5,False
M365,5,1.0,5,False
M412,5,1.0,5,False
M151,5,1.0,5,True
M304,5,1.0,5,False
M355,5,1.0,5,False
M350,5,1.0,5,True
M178,5,1.0,5,False
M163,5,1.0,5,False
M108,5,1.0,5,False
M231,5,1.0,5,True
M321,5,1.0,5,True
M153,5,1.0,5,False
M177,5,1.0,5,False
M357,5,1.0,5,True
M137,5,1.0,5,True
M155,5,1.0,5,False
M239,5,1.0,5,False
M223,5,1.0,5,False
M103,5,1.0,5,False
M254,5,1.0,5,False
M262,5,1.0,5,True
M416,5,1.0,5,False
M143,5,1.0,5,False
M345,5,1.0,5,False
M329,5,1.0,5,False
M190,5,1.0,5,False
M295,5,1.0,5,False
M402,5,1.0,5,False
