test_identity,best_train_identity,best_similarity,assigned_cluster
M332,M270,0.4814,4
M237,M127,0.4565,4
M374,M374,0.44,1
M102,M183,0.4155,4
M262,M304,0.4,6
M128,M252,0.39,7
M365,M365,0.3767,25
M151,M365,0.3747,25
M059,M059,0.3737,3
M168,M332,0.3714,1
M198,M198,0.37,9
M412,M223,0.3667,16
M347,M128,0.3667,4
M345,M177,0.3542,13
M321,M351,0.3517,1
M329,M223,0.35,16
M351,M355,0.35,8
M272,M237,0.3455,4
M304,M350,0.326,5
M357,M270,0.3233,4
M177,M108,0.3186,3
M383,M345,0.3167,20
M254,M262,0.3167,10
M402,M401,0.3164,2
M355,M412,0.3125,4
M137,M153,0.3071,23
M223,M386,0.2875,19
M143,M185,0.2804,26
M153,M222,0.2788,21
M235,M254,0.2768,1
M149,M177,0.2708,13
M178,M357,0.27,4
M185,M252,0.27,7
M295,M262,0.2524,10
M386,M416,0.245,4
M231,M350,0.2109,5
