identity,total,num_prefixes,num_suffixes,top_prefix,prefix_ratio,top_suffix,suffix_ratio,avg_length,avg_position,pos_variance,num_co_identities,top_co_identity,semantic_type
M059,210,74,23,M059,0.205,M059,0.357,4.62,0.563,0.1503,29,M222,HUB_AUTHORITY
M169,8,8,8,M391,0.125,M293,0.125,5.5,0.485,0.0381,2,M059,FLEXIBLE_AGENT
M347,8,8,8,M125,0.125,M233,0.125,5.25,0.399,0.032,1,M351,FLEXIBLE_AGENT
M237,8,8,7,M052,0.125,M065,0.25,5.88,0.518,0.0321,2,M272,FLEXIBLE_AGENT
M383,7,7,6,M048,0.143,M051,0.286,5.71,0.307,0.0332,1,M059,FLEXIBLE_AGENT
M375,7,6,7,M006,0.286,M059,0.143,5.43,0.518,0.0412,2,M059,FLEXIBLE_AGENT
M185,7,6,6,M048,0.286,M305,0.286,5.43,0.457,0.0479,1,M143,CORE_ENTITY
M149,7,7,6,M073,0.143,M328,0.286,5.43,0.443,0.0438,2,M059,FLEXIBLE_AGENT
M235,7,7,6,M014,0.143,M293,0.286,6.0,0.536,0.0343,3,M177,FLEXIBLE_AGENT
M102,7,7,7,M032,0.143,M342,0.143,5.57,0.467,0.029,2,M059,FLEXIBLE_AGENT
M128,7,7,6,M012,0.143,M293,0.286,5.29,0.451,0.0291,1,M262,FLEXIBLE_AGENT
M272,7,7,7,M057,0.143,M087,0.143,5.0,0.462,0.0039,2,M059,FLEXIBLE_AGENT
M127,6,5,6,M062,0.333,M089,0.167,5.17,0.494,0.0636,1,M059,FLEXIBLE_AGENT
M252,6,6,6,M026,0.167,M220,0.167,6.5,0.557,0.0516,0,,FLEXIBLE_AGENT
M270,6,6,6,M022,0.167,M087,0.167,5.5,0.464,0.0337,4,M345,FLEXIBLE_AGENT
M401,6,6,6,M001,0.167,M012,0.167,6.17,0.583,0.05,4,M059,FLEXIBLE_AGENT
M374,6,5,5,M051,0.333,M336,0.333,5.0,0.436,0.026,2,M059,CORE_ENTITY
M386,6,6,5,M029,0.167,M176,0.333,5.67,0.385,0.0265,1,M059,FLEXIBLE_AGENT
M168,6,6,6,M023,0.167,M065,0.167,5.33,0.422,0.0136,2,M332,FLEXIBLE_AGENT
M332,6,6,6,M051,0.167,M336,0.167,5.67,0.43,0.0113,4,M059,FLEXIBLE_AGENT
M351,6,6,5,M064,0.167,M051,0.333,5.33,0.355,0.0208,2,M059,FLEXIBLE_AGENT
M198,6,6,5,M008,0.167,M249,0.333,5.0,0.347,0.0149,0,,FLEXIBLE_AGENT
M163,5,5,4,M013,0.2,M220,0.4,5.8,0.475,0.0505,1,M059,CORE_ENTITY
M178,5,5,4,M024,0.2,M089,0.4,5.2,0.326,0.0053,1,M059,CORE_ENTITY
M151,5,5,5,M034,0.2,M059,0.2,4.4,0.433,0.0372,1,M059,CORE_ENTITY
M412,5,5,4,M060,0.2,M342,0.4,5.2,0.56,0.0442,1,M332,CORE_ENTITY
M304,5,5,5,M068,0.2,M391,0.2,5.8,0.427,0.0202,2,M059,CORE_ENTITY
M355,5,5,5,M052,0.2,M391,0.2,5.4,0.655,0.0418,0,,CORE_ENTITY
M183,5,5,5,M012,0.2,M048,0.2,5.8,0.435,0.0469,1,M235,CORE_ENTITY
M222,5,5,4,M001,0.2,M249,0.4,5.8,0.571,0.0315,2,M059,CORE_ENTITY
M350,5,5,5,M060,0.2,M391,0.2,4.2,0.473,0.034,1,M059,CORE_ENTITY
M365,5,4,3,M050,0.4,M267,0.4,4.2,0.477,0.0355,0,,CORE_ENTITY
M153,5,5,4,M060,0.2,M176,0.4,4.0,0.35,0.0067,0,,CORE_ENTITY
M321,5,5,5,M082,0.2,M342,0.2,5.6,0.49,0.0602,2,M223,CORE_ENTITY
M108,5,5,4,M045,0.2,M048,0.4,4.8,0.57,0.0207,1,M059,CORE_ENTITY
M231,5,5,5,M022,0.2,M051,0.2,5.2,0.45,0.0267,1,M402,CORE_ENTITY
M239,5,5,5,M002,0.2,M048,0.2,5.2,0.407,0.026,2,M190,CORE_ENTITY
M155,5,5,5,M037,0.2,M367,0.2,5.2,0.677,0.0326,0,,CORE_ENTITY
M137,5,5,4,M070,0.2,M249,0.4,5.0,0.34,0.0313,1,M059,CORE_ENTITY
M357,5,5,5,M045,0.2,M089,0.2,5.6,0.44,0.0442,3,M401,CORE_ENTITY
M177,5,5,5,M014,0.2,M336,0.2,6.0,0.482,0.0327,3,M235,CORE_ENTITY
M254,5,5,5,M033,0.2,M051,0.2,5.2,0.457,0.0342,3,M332,CORE_ENTITY
M223,5,5,5,M059,0.2,M089,0.2,5.0,0.52,0.0127,4,M059,CORE_ENTITY
M103,5,5,5,M035,0.2,M125,0.2,4.6,0.533,0.0156,0,,CORE_ENTITY
M262,5,5,5,M062,0.2,M099,0.2,6.0,0.327,0.0073,4,M128,CORE_ENTITY
M416,5,5,4,M028,0.2,M293,0.4,6.4,0.467,0.0378,4,M059,CORE_ENTITY
M143,5,5,4,M065,0.2,M099,0.4,5.4,0.397,0.0277,1,M185,CORE_ENTITY
M345,5,5,4,M087,0.2,M336,0.4,4.4,0.533,0.0406,1,M270,CORE_ENTITY
M329,5,4,5,M012,0.4,M336,0.2,5.2,0.6,0.0178,0,,CORE_ENTITY
M190,5,5,5,M041,0.2,M099,0.2,5.6,0.533,0.0627,2,M177,CORE_ENTITY
M295,5,5,5,M020,0.2,M087,0.2,5.4,0.574,0.0385,1,M059,CORE_ENTITY
M402,5,5,5,M058,0.2,M328,0.2,5.6,0.323,0.0465,1,M231,CORE_ENTITY
