identity,total_occurrences,num_prefixes,dominant_prefix,dominant_ratio,entropy,normalized_entropy,dominance_type
M059,210,74,M059,0.2048,5.461,0.879,HIGHLY_DISTRIBUTED
M169,8,8,M391,0.125,3.0,1.0,HIGHLY_DISTRIBUTED
M237,8,8,M052,0.125,3.0,1.0,HIGHLY_DISTRIBUTED
M347,8,8,M125,0.125,3.0,1.0,HIGHLY_DISTRIBUTED
M102,7,7,M032,0.1429,2.807,1.0,HIGHLY_DISTRIBUTED
M128,7,7,M012,0.1429,2.807,1.0,HIGHLY_DISTRIBUTED
M149,7,7,M073,0.1429,2.807,1.0,HIGHLY_DISTRIBUTED
M235,7,7,M014,0.1429,2.807,1.0,HIGHLY_DISTRIBUTED
M272,7,7,M057,0.1429,2.807,1.0,HIGHLY_DISTRIBUTED
M383,7,7,M048,0.1429,2.807,1.0,HIGHLY_DISTRIBUTED
M185,7,6,M048,0.2857,2.522,0.976,HIGHLY_DISTRIBUTED
M375,7,6,M006,0.2857,2.522,0.976,HIGHLY_DISTRIBUTED
M168,6,6,M023,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M198,6,6,M008,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M252,6,6,M026,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M270,6,6,M022,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M332,6,6,M051,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M351,6,6,M064,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M386,6,6,M029,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M401,6,6,M001,0.1667,2.585,1.0,HIGHLY_DISTRIBUTED
M127,6,5,M062,0.3333,2.252,0.97,HIGHLY_DISTRIBUTED
M374,6,5,M051,0.3333,2.252,0.97,HIGHLY_DISTRIBUTED
M103,5,5,M035,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M108,5,5,M045,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M137,5,5,M070,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M143,5,5,M065,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M151,5,5,M034,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M153,5,5,M060,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M155,5,5,M037,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M163,5,5,M013,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M177,5,5,M014,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M178,5,5,M024,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M183,5,5,M012,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M190,5,5,M041,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M222,5,5,M001,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M223,5,5,M059,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M231,5,5,M022,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M239,5,5,M002,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M254,5,5,M033,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M262,5,5,M062,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M295,5,5,M020,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M304,5,5,M068,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M321,5,5,M082,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M345,5,5,M087,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M350,5,5,M060,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M355,5,5,M052,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M357,5,5,M045,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M402,5,5,M058,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M412,5,5,M060,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M416,5,5,M028,0.2,2.322,1.0,HIGHLY_DISTRIBUTED
M329,5,4,M012,0.4,1.922,0.961,MULTI_CONTEXT
M365,5,4,M050,0.4,1.922,0.961,MULTI_CONTEXT
