letters,form,cisi_number,site,iconography,position,seal_id,upos,xpos,letter_label_encoded,prefix,vowel,morpheme boundary,noun,verb,FormWithoutLemma,Counts,MorphemeSeparated,prefix_label_encoded
M391,seal_0000,H-0001,Harappa,elephant,0,0,SIGN,INDUS,391,,,1,0,0,M391,1,M391,0
M211,seal_0000,H-0001,Harappa,elephant,1,0,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M099,seal_0000,H-0001,Harappa,elephant,2,0,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M220,seal_0000,H-0001,Harappa,elephant,3,0,SIGN,INDUS,220,,,0,0,0,M220,1,M220,0
M022,seal_0001,M-0001,Mohenjo-daro,geometric,0,1,SIGN,INDUS,22,,,1,0,0,M022,1,M022,0
M270,seal_0001,M-0001,Mohenjo-daro,geometric,1,1,SIGN,INDUS,270,,,0,0,0,M270,1,M270,0
M342,seal_0001,M-0001,Mohenjo-daro,geometric,2,1,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M211,seal_0001,M-0001,Mohenjo-daro,geometric,3,1,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M087,seal_0001,M-0001,Mohenjo-daro,geometric,4,1,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M042,seal_0002,H-0002,Harappa,script only,0,2,SIGN,INDUS,42,,,1,0,0,M042,1,M042,0
M012,seal_0002,H-0002,Harappa,script only,1,2,SIGN,INDUS,12,,,0,0,0,M012,1,M012,0
M062,seal_0003,DK-0001,Dholavira,zebu bull,0,3,SIGN,INDUS,62,,,1,0,0,M062,1,M062,0
M162,seal_0003,DK-0001,Dholavira,zebu bull,1,3,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M267,seal_0003,DK-0001,Dholavira,zebu bull,2,3,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M073,seal_0004,M-0002,Mohenjo-daro,zebu bull,0,4,SIGN,INDUS,73,,,1,0,0,M073,1,M073,0
M378,seal_0004,M-0002,Mohenjo-daro,zebu bull,1,4,SIGN,INDUS,378,,,0,0,0,M378,1,M378,0
