symbol,anchor_role,anchor_confidence,avg_position,position_variance,count,context_diversity,is_identity_core
M059,HUB_AUTHORITY,1.0,0.578,0.1482,222,97,True
M342,RELATIONAL_MARKER,0.6,0.561,0.0643,584,120,False
M176,RELATIONAL_MARKER,0.5424,0.607,0.0757,356,117,False
M099,RELATIONAL_MARKER,0.5556,0.598,0.0775,389,116,False
M267,RELATIONAL_MARKER,0.56,0.54,0.0778,400,116,False
M321,FLEXIBLE_AGENT,0.4661,0.49,0.0602,5,10,True
M350,FLEXIBLE_AGENT,0.4661,0.473,0.034,5,10,True
M231,FLEXIBLE_AGENT,0.4661,0.45,0.0267,5,10,True
M305,CASE_MARKER,0.9482,0.988,0.0057,83,57,False
M220,CASE_MARKER,0.9488,0.992,0.004,62,52,False
