cisi_number,site,inscription,role_pattern,avg_confidence,has_classifier_prefix,has_case_marker_suffix,contains_m059,length,iconography
BN-0001,Banawali,M008 M328 M277 M211,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.467,True,False,False,4,zebu bull
BN-0002,Banawali,M023 M099 M125,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.688,True,True,False,3,unicorn
BN-0003,Banawali,M059 M267 M099 M342 M387 M125,HUB_AUTHORITY → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → WEAK_CASE_MARKER,0.573,False,True,True,6,unicorn
BN-0004,Banawali,M012 M328 M267 M328,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.501,False,False,False,4,unicorn
BN-0005,Banawali,M019 M087 M324 M233,CLASSIFIER → RELATIONAL_MARKER → UNK → WEAK_CASE_MARKER,0.503,True,True,False,4,gharial
BN-0006,Banawali,M014 M176 M367 M328 M336 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.63,True,False,True,6,unicorn
BN-0007,Banawali,M010 M328 M336 M367 M176 M249,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.621,True,True,False,6,unicorn
BN-0008,Banawali,M020 M059 M342 M051 M125,CLASSIFIER → HUB_AUTHORITY → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.721,True,True,True,5,rhinoceros
BN-0009,Banawali,M032 M391,CLASSIFIER → RELATIONAL_MARKER,0.583,True,False,False,2,elephant
BN-0010,Banawali,M051 M267 M397 M176 M169 M125,RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → FLEXIBLE_AGENT → WEAK_CASE_MARKER,0.461,False,True,False,6,zebu bull
BN-0011,Banawali,M044 M099 M059,CLASSIFIER → RELATIONAL_MARKER → HUB_AUTHORITY,0.796,True,False,True,3,script only
BN-0012,Banawali,M047 M267 M305,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.751,True,True,False,3,zebu bull
BN-0013,Banawali,M006 M281 M305,CLASSIFIER → UNK → CASE_MARKER,0.574,True,True,False,3,rhinoceros
BN-0014,Banawali,M058 M267 M051,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.628,True,False,False,3,zebu bull
BN-0015,Banawali,M054 M089,CLASSIFIER → RELATIONAL_MARKER,0.6,True,False,False,2,zebu bull
BN-0016,Banawali,M211 M162 M099 M099 M059 M367,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY → RELATIONAL_MARKER,0.595,False,False,True,6,rhinoceros
BN-0017,Banawali,M023 M267 M267 M051,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.593,True,False,False,4,geometric
BN-0018,Banawali,M063 M342 M012,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.625,True,False,False,3,gharial
BN-0019,Banawali,M016 M243 M267 M138 M125,CLASSIFIER → UNK → RELATIONAL_MARKER → UNK → WEAK_CASE_MARKER,0.434,True,True,False,5,elephant
BN-0020,Banawali,M053 M334 M065 M342 M211 M059,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.565,True,False,True,6,tiger
BN-0021,Banawali,M056 M374 M048,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.587,True,False,False,3,elephant
BN-0022,Banawali,M089 M254 M089 M342 M162 M336,RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.492,False,False,False,6,tiger
