identity,count,num_raw_sequences,num_prefixes,num_suffixes,num_shells,avg_length,avg_position,position_variance,context_diversity,top_prefixes,top_suffixes,semantic_role,refined_role
M059,222,207,74,23,195,4.65,0.58,0.148,97,"[('M059', 49), ('M065', 8), ('M062', 6)]","[('M059', 81), ('M342', 11), ('M176', 10)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M169,8,8,8,8,8,5.5,0.48,0.038,16,"[('M391', 1), ('M050', 1), ('M051', 1)]","[('M293', 1), ('M336', 1), ('M125', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M347,8,8,8,8,8,5.25,0.4,0.032,16,"[('M125', 1), ('M030', 1), ('M006', 1)]","[('M233', 1), ('M293', 1), ('M305', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M102,8,7,7,7,7,5.5,0.5,0.034,14,"[('M022', 2), ('M032', 1), ('M059', 1)]","[('M089', 2), ('M342', 1), ('M099', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M237,8,8,8,7,8,5.88,0.52,0.032,15,"[('M052', 1), ('M040', 1), ('M125', 1)]","[('M065', 2), ('M305', 1), ('M267', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M375,7,7,6,7,7,5.43,0.52,0.041,13,"[('M006', 2), ('M045', 1), ('M078', 1)]","[('M059', 1), ('M065', 1), ('M089', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M383,7,7,7,6,7,5.71,0.31,0.033,13,"[('M048', 1), ('M051', 1), ('M176', 1)]","[('M051', 2), ('M087', 1), ('M233', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M149,7,7,7,6,7,5.43,0.44,0.044,13,"[('M073', 1), ('M066', 1), ('M010', 1)]","[('M328', 2), ('M162', 1), ('M336', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M235,7,7,7,6,7,6.0,0.54,0.034,13,"[('M014', 1), ('M061', 1), ('M019', 1)]","[('M293', 2), ('M336', 1), ('M162', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M128,7,7,7,6,7,5.29,0.45,0.029,13,"[('M012', 1), ('M074', 1), ('M079', 1)]","[('M293', 2), ('M087', 1), ('M391', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M185,7,7,6,6,6,5.43,0.46,0.048,12,"[('M048', 2), ('M039', 1), ('M065', 1)]","[('M305', 2), ('M391', 1), ('M328', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M272,7,7,7,7,7,5.0,0.46,0.004,14,"[('M057', 1), ('M045', 1), ('M052', 1)]","[('M087', 1), ('M051', 1), ('M305', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M127,6,6,5,6,6,5.17,0.49,0.064,11,"[('M062', 2), ('M035', 1), ('M077', 1)]","[('M089', 1), ('M065', 1), ('M087', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M401,6,6,6,6,6,6.17,0.58,0.05,12,"[('M001', 1), ('M053', 1), ('M014', 1)]","[('M012', 1), ('M305', 1), ('M367', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M270,6,6,6,6,6,5.5,0.46,0.034,12,"[('M022', 1), ('M328', 1), ('M016', 1)]","[('M087', 1), ('M065', 1), ('M267', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M374,6,6,5,5,6,5.0,0.44,0.026,10,"[('M051', 2), ('M056', 1), ('M073', 1)]","[('M336', 2), ('M048', 1), ('M267', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M386,6,6,6,5,6,5.67,0.38,0.027,11,"[('M029', 1), ('M017', 1), ('M078', 1)]","[('M176', 2), ('M211', 1), ('M059', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M252,6,6,6,6,6,6.5,0.56,0.052,12,"[('M026', 1), ('M099', 1), ('M025', 1)]","[('M220', 1), ('M233', 1), ('M328', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M168,6,6,6,6,6,5.33,0.42,0.014,12,"[('M023', 1), ('M051', 1), ('M039', 1)]","[('M065', 1), ('M336', 1), ('M048', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M332,6,6,6,6,6,5.67,0.43,0.011,12,"[('M051', 1), ('M059', 1), ('M336', 1)]","[('M336', 1), ('M087', 1), ('M059', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M351,6,6,6,5,6,5.33,0.36,0.021,11,"[('M064', 1), ('M023', 1), ('M016', 1)]","[('M051', 2), ('M342', 1), ('M162', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M198,6,6,6,5,6,5.0,0.35,0.015,11,"[('M008', 1), ('M045', 1), ('M051', 1)]","[('M249', 2), ('M305', 1), ('M233', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M163,5,5,5,4,5,5.8,0.48,0.05,9,"[('M013', 1), ('M293', 1), ('M079', 1)]","[('M220', 2), ('M211', 1), ('M342', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M178,5,5,5,4,5,5.2,0.33,0.005,9,"[('M024', 1), ('M045', 1), ('M059', 1)]","[('M089', 2), ('M336', 1), ('M391', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M151,5,5,5,5,5,4.4,0.43,0.037,10,"[('M034', 1), ('M022', 1), ('M058', 1)]","[('M059', 1), ('M220', 1), ('M249', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M412,5,5,5,4,5,5.2,0.56,0.044,9,"[('M060', 1), ('M336', 1), ('M018', 1)]","[('M342', 2), ('M211', 1), ('M367', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M304,5,5,5,5,5,5.8,0.43,0.02,10,"[('M068', 1), ('M059', 1), ('M062', 1)]","[('M391', 1), ('M211', 1), ('M099', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M355,5,5,5,5,5,5.4,0.65,0.042,10,"[('M052', 1), ('M043', 1), ('M018', 1)]","[('M391', 1), ('M162', 1), ('M012', 1)]",POSSIBLE_PERSON,PERSON_OR_OWNER
M222,5,5,5,4,5,5.8,0.57,0.032,9,"[('M001', 1), ('M099', 1), ('M293', 1)]","[('M249', 2), ('M012', 1), ('M367', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M183,5,5,5,5,5,5.8,0.44,0.047,10,"[('M012', 1), ('M062', 1), ('M052', 1)]","[('M048', 1), ('M293', 1), ('M211', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M350,5,5,5,5,5,4.2,0.47,0.034,10,"[('M060', 1), ('M068', 1), ('M041', 1)]","[('M391', 1), ('M367', 1), ('M293', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M365,5,5,4,3,5,4.2,0.48,0.036,7,"[('M050', 2), ('M071', 1), ('M034', 1)]","[('M267', 2), ('M220', 2), ('M391', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M153,5,5,5,4,5,4.0,0.35,0.007,9,"[('M060', 1), ('M040', 1), ('M028', 1)]","[('M176', 2), ('M012', 1), ('M367', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M321,5,5,5,5,5,5.6,0.49,0.06,10,"[('M082', 1), ('M016', 1), ('M039', 1)]","[('M342', 1), ('M048', 1), ('M293', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M108,5,5,5,4,5,4.8,0.57,0.021,9,"[('M045', 1), ('M036', 1), ('M051', 1)]","[('M048', 2), ('M162', 1), ('M176', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M231,5,5,5,5,5,5.2,0.45,0.027,10,"[('M022', 1), ('M063', 1), ('M019', 1)]","[('M051', 1), ('M367', 1), ('M293', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M239,5,5,5,5,5,5.2,0.41,0.026,10,"[('M002', 1), ('M074', 1), ('M048', 1)]","[('M048', 1), ('M367', 1), ('M220', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M155,5,5,5,5,5,5.2,0.68,0.033,10,"[('M037', 1), ('M391', 1), ('M070', 1)]","[('M367', 1), ('M293', 1), ('M342', 1)]",POSSIBLE_PERSON,PERSON_OR_OWNER
M137,5,5,5,4,5,5.0,0.34,0.031,9,"[('M070', 1), ('M038', 1), ('M058', 1)]","[('M249', 2), ('M059', 1), ('M087', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M357,5,5,5,5,5,5.6,0.44,0.044,10,"[('M045', 1), ('M053', 1), ('M064', 1)]","[('M089', 1), ('M305', 1), ('M162', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M177,5,5,5,5,5,6.0,0.48,0.033,10,"[('M014', 1), ('M065', 1), ('M013', 1)]","[('M336', 1), ('M048', 1), ('M211', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M254,5,5,5,5,5,5.2,0.46,0.034,10,"[('M033', 1), ('M336', 1), ('M089', 1)]","[('M051', 1), ('M059', 1), ('M336', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M223,5,5,5,5,5,5.0,0.52,0.013,10,"[('M059', 1), ('M078', 1), ('M065', 1)]","[('M089', 1), ('M391', 1), ('M211', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M103,5,5,5,5,5,4.6,0.53,0.016,10,"[('M035', 1), ('M034', 1), ('M016', 1)]","[('M125', 1), ('M249', 1), ('M342', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M262,5,5,5,5,5,6.0,0.33,0.007,10,"[('M062', 1), ('M176', 1), ('M005', 1)]","[('M099', 1), ('M048', 1), ('M293', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M416,5,5,5,4,5,6.4,0.47,0.038,9,"[('M028', 1), ('M066', 1), ('M002', 1)]","[('M293', 2), ('M220', 1), ('M305', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M143,5,5,5,4,5,5.4,0.4,0.028,9,"[('M065', 1), ('M342', 1), ('M070', 1)]","[('M099', 2), ('M328', 1), ('M048', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M345,5,5,5,4,5,4.4,0.53,0.041,9,"[('M087', 1), ('M013', 1), ('M328', 1)]","[('M336', 2), ('M065', 1), ('M051', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M329,5,5,4,5,5,5.2,0.6,0.018,9,"[('M012', 2), ('M056', 1), ('M004', 1)]","[('M336', 1), ('M233', 1), ('M048', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M190,5,5,5,5,5,5.6,0.53,0.063,10,"[('M041', 1), ('M077', 1), ('M013', 1)]","[('M099', 1), ('M336', 1), ('M211', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M295,5,5,5,5,5,5.4,0.57,0.039,10,"[('M020', 1), ('M099', 1), ('M073', 1)]","[('M087', 1), ('M342', 1), ('M220', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
M402,5,5,5,5,5,5.6,0.32,0.047,10,"[('M058', 1), ('M021', 1), ('M003', 1)]","[('M328', 1), ('M342', 1), ('M367', 1)]",PERSON_OR_OWNER,STRONG_PERSON_OR_OWNER
