identity,count,num_raw_sequences,num_prefixes,num_suffixes,num_shells,num_rendered_forms,avg_length,avg_position,position_variance,context_diversity,form_variation,sequence_recurrence,shell_density,semantic_role,role_confidence
M347,8,8,8,8,8,8,5.25,0.4,0.032,16,1.0,1.0,1.0,PERSON_OR_OWNER,1.0
M169,8,8,8,8,8,8,5.5,0.48,0.038,16,1.0,1.0,1.0,PERSON_OR_OWNER,1.0
M237,8,8,8,7,8,8,5.88,0.52,0.032,15,1.0,1.0,1.0,PERSON_OR_OWNER,1.0
M059,222,207,74,23,195,206,4.65,0.58,0.148,97,0.9951690821256038,1.0724637681159421,0.9420289855072463,PERSON_OR_OWNER,0.9993
M102,8,7,7,7,7,7,5.5,0.5,0.034,14,1.0,1.1428571428571428,1.0,PERSON_OR_OWNER,0.9562
M272,7,7,7,7,7,7,5.0,0.46,0.004,14,1.0,1.0,1.0,PERSON_OR_OWNER,0.9562
M128,7,7,7,6,7,7,5.29,0.45,0.029,13,1.0,1.0,1.0,PERSON_OR_OWNER,0.9562
M235,7,7,7,6,7,7,6.0,0.54,0.034,13,1.0,1.0,1.0,PERSON_OR_OWNER,0.9562
M149,7,7,7,6,7,7,5.43,0.44,0.044,13,1.0,1.0,1.0,PERSON_OR_OWNER,0.9562
M185,7,7,6,6,6,7,5.43,0.46,0.048,12,1.0,1.0,0.8571428571428571,PERSON_OR_OWNER,0.9562
M383,7,7,7,6,7,7,5.71,0.31,0.033,13,1.0,1.0,1.0,PERSON_OR_OWNER,0.9562
M375,7,7,6,7,7,7,5.43,0.52,0.041,13,1.0,1.0,1.0,PERSON_OR_OWNER,0.9562
M270,6,6,6,6,6,6,5.5,0.46,0.034,12,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M401,6,6,6,6,6,6,6.17,0.58,0.05,12,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M374,6,6,5,5,6,6,5.0,0.44,0.026,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M127,6,6,5,6,6,6,5.17,0.49,0.064,11,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M252,6,6,6,6,6,6,6.5,0.56,0.052,12,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M386,6,6,6,5,6,6,5.67,0.38,0.027,11,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M351,6,6,6,5,6,6,5.33,0.36,0.021,11,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M198,6,6,6,5,6,6,5.0,0.35,0.015,11,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M168,6,6,6,6,6,6,5.33,0.42,0.014,12,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M332,6,6,6,6,6,6,5.67,0.43,0.011,12,1.0,1.0,1.0,PERSON_OR_OWNER,0.9125
M183,5,5,5,5,5,5,5.8,0.44,0.047,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M151,5,5,5,5,5,5,4.4,0.43,0.037,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M304,5,5,5,5,5,5,5.8,0.43,0.02,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M350,5,5,5,5,5,5,4.2,0.47,0.034,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M231,5,5,5,5,5,5,5.2,0.45,0.027,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M321,5,5,5,5,5,5,5.6,0.49,0.06,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M177,5,5,5,5,5,5,6.0,0.48,0.033,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M357,5,5,5,5,5,5,5.6,0.44,0.044,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M239,5,5,5,5,5,5,5.2,0.41,0.026,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M223,5,5,5,5,5,5,5.0,0.52,0.013,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
M103,5,5,5,5,5,5,4.6,0.53,0.016,10,1.0,1.0,1.0,PERSON_OR_OWNER,0.8354
