form,cisi_number,site,iconography,raw_sequence,role_sequence,cluster_sequence,length
seal_0,H-0001,Harappa,elephant,M391 M211 M099 M220,END END END END,1 1 3 1,4
seal_1,M-0001,Mohenjo-daro,geometric,M022 M270 M342 M211 M087,START CORE END END END,2 0 3 1 1,5
seal_2,H-0002,Harappa,script only,M042 M012,START END,2 1,2
seal_3,DK-0001,Dholavira,zebu bull,M062 M162 M267,START END END,2 1 3,3
seal_4,M-0002,Mohenjo-daro,zebu bull,M073 M378 M328 M099 M125 M089,START CORE END END END END,2 0 1 3 1 1,6
seal_5,H-0003,Harappa,unicorn,M059 M059,LINK LINK,1 1,2
seal_6,M-0003,Mohenjo-daro,zebu bull,M004 M391 M099,START END END,2 1 3,3
seal_7,K-0001,Kalibangan,elephant,M012 M183 M391 M048,END CORE END END,1 0 1 1,4
seal_8,M-0004,Mohenjo-daro,unicorn,M048 M328 M328,END END END,1 1 1,3
seal_9,BN-0001,Banawali,zebu bull,M008 M328 M277 M211,START END CORE END,2 1 0 1,4
seal_10,M-0005,Mohenjo-daro,unicorn,M028 M211 M342 M391 M226 M125 M051,START END END END CORE END END,2 1 3 1 0 1 1,7
seal_11,H-0004,Harappa,unicorn,M014 M162 M342 M176 M099 M125,START END END END END END,2 1 3 3 3 1,6
seal_12,L-0001,Lothal,elephant,M023 M176 M099 M328,START END END END,2 3 3 1,4
seal_13,M-0006,Mohenjo-daro,script only,M066 M162 M087,START END END,2 1 1,3
seal_14,C-0001,Chanhu-daro,unicorn,M391 M267 M342,END END END,1 3 3,3
seal_15,M-0007,Mohenjo-daro,zebu bull,M077 M342 M162,START END END,2 3 1,3
seal_16,M-0008,Mohenjo-daro,unicorn,M044 M059 M267 M125,START LINK END END,2 1 3 1,4
seal_17,H-0005,Harappa,unicorn,M125 M267 M059 M065,END END LINK END,1 3 1 1,4
seal_18,RGR-0001,Rakhigarhi,unicorn,M001 M059 M401 M255 M328 M051 M222 M012,START LINK LINK CORE END END CORE END,2 1 0 0 1 1 0 1,8
seal_19,DK-0002,Dholavira,unicorn,M059 M267 M099 M261 M267,LINK END END CORE END,1 3 3 0 3,5
seal_20,K-0002,Kalibangan,unicorn,M071 M267 M367 M087 M365 M267,START END END END CORE END,2 3 1 1 0 3,6
seal_21,C-0002,Chanhu-daro,rhinoceros,M060 M412 M211,START CORE END,2 0 1,3
seal_22,M-0009,Mohenjo-daro,tiger,M009 M267 M342 M342 M367 M251 M012,START END END END END CORE END,2 3 3 3 1 0 1,7
seal_23,H-0006,Harappa,unicorn,M018 M336,START END,2 1,2
seal_24,L-0002,Lothal,buffalo,M061 M267 M099 M125,START END END END,2 3 3 1,4
seal_25,H-0007,Harappa,rhinoceros,M067 M181 M051 M051,START CORE END END,2 0 1 1,4
seal_26,M-0010,Mohenjo-daro,rhinoceros,M233 M219 M158 M342,END CORE CORE END,1 0 0 3,4
seal_27,M-0011,Mohenjo-daro,unicorn,M019 M301 M087,START CORE END,2 0 1,3
seal_28,H-0008,Harappa,unicorn,M176 M342 M233 M391 M162 M342 M336,END END END END END END END,3 3 1 1 1 3 1,7
seal_29,M-0012,Mohenjo-daro,unicorn,M267 M099 M406 M293,END END CORE END,3 3 0 1,4
seal_30,DK-0003,Dholavira,gharial,M033 M267 M162 M089 M099 M059,START END END END END LINK,2 3 1 1 3 1,6
seal_31,M-0013,Mohenjo-daro,elephant,M016 M342 M176 M125 M233,START END END END END,2 3 3 1 1,5
seal_32,DK-0004,Dholavira,unicorn,M022 M342 M176 M305,START END END END,2 3 3 1,4
seal_33,M-0014,Mohenjo-daro,geometric,M008 M176 M099 M125,START END END END,2 3 3 1,4
seal_34,M-0015,Mohenjo-daro,unicorn,M040 M391 M391 M233,START END END END,2 1 1 1,4
seal_35,M-0016,Mohenjo-daro,zebu bull,M062 M267 M059 M099,START END LINK END,2 3 1 3,4
seal_36,M-0017,Mohenjo-daro,zebu bull,M001 M287 M305,START CORE END,2 0 1,3
seal_37,SK-0001,Surkotada,zebu bull,M026 M293 M267 M099 M065,START END END END END,2 1 3 3 1,5
seal_38,M-0018,Mohenjo-daro,rhinoceros,M211 M099 M328,END END END,1 3 1,3
seal_39,H-0009,Harappa,script only,M023 M379 M125,START CORE END,2 0 1,3
seal_40,M-0019,Mohenjo-daro,script only,M058 M176 M211 M099,START END END END,2 3 1 3,4
seal_41,M-0020,Mohenjo-daro,unicorn,M024 M267,START END,2 3,2
seal_42,L-0003,Lothal,rhinoceros,M051 M214 M233 M089 M051,END CORE END END END,1 0 1 1 1,5
seal_43,H-0010,Harappa,zebu bull,M035 M089,START END,2 1,2
seal_44,M-0021,Mohenjo-daro,rhinoceros,M034 M151 M048 M059,START CORE END LINK,2 0 1 1,4
seal_45,M-0022,Mohenjo-daro,unicorn,M059 M267 M328 M012,LINK END END END,1 3 1 1,4
seal_46,H-0011,Harappa,zebu bull,M024 M211,START END,2 1,2
seal_47,BN-0002,Banawali,unicorn,M023 M099 M125,START END END,2 3 1,3
seal_48,BN-0003,Banawali,unicorn,M059 M267 M099 M342 M387 M125,LINK END END END CORE END,1 3 3 3 0 1,6
seal_49,L-0004,Lothal,elephant,M069 M391 M293 M328,START END END END,2 1 1 1,4
seal_50,M-0023,Mohenjo-daro,elephant,M039 M211,START END,2 1,2
seal_51,C-0003,Chanhu-daro,zebu bull,M075 M267 M211 M342 M048,START END END END END,2 3 1 3 1,5
seal_52,L-0005,Lothal,buffalo,M027 M099 M233,START END END,2 3 1,3
seal_53,H-0012,Harappa,geometric,M125 M347 M048 M233,END LINK END END,1 0 1 1,4
seal_54,H-0013,Harappa,rhinoceros,M074 M267 M342 M342 M162,START END END END END,2 3 3 3 1,5
seal_55,M-0024,Mohenjo-daro,zebu bull,M062 M131 M165 M328 M048,START CORE CORE END END,2 0 0 1 1,5
seal_56,L-0006,Lothal,tiger,M391 M059,END LINK,1 1,2
seal_57,M-0025,Mohenjo-daro,rhinoceros,M336 M176 M099 M305,END END END END,1 3 3 1,4
seal_58,DK-0005,Dholavira,unicorn,M391 M380 M116 M089,END CORE CORE END,1 0 0 1,4
seal_59,H-0014,Harappa,script only,M008 M197 M162,START CORE END,2 0 1,3
seal_60,H-0015,Harappa,gharial,M063 M293 M012,START END END,2 1 1,3
seal_61,H-0016,Harappa,unicorn,M176 M274 M099,END CORE END,3 0 3,3
seal_62,L-0007,Lothal,rhinoceros,M048 M342,END END,1 3,2
seal_63,M-0026,Mohenjo-daro,script only,M049 M293 M336 M342 M342,START END END END END,2 1 1 3 3,5
seal_64,H-0017,Harappa,zebu bull,M081 M211,START END,2 1,2
seal_65,SK-0002,Surkotada,unicorn,M053 M342 M176 M267 M211 M342 M211 M089,START END END END END END END END,2 3 3 3 1 3 1 1,8
seal_66,H-0018,Harappa,unicorn,M054 M336,START END,2 1,2
seal_67,H-0019,Harappa,elephant,M005 M326 M133 M318 M328 M099,START CORE CORE CORE END END,2 0 0 0 1 3,6
seal_68,M-0027,Mohenjo-daro,unicorn,M030 M099 M176 M367,START END END END,2 3 3 1,4
seal_69,H-0020,Harappa,tiger,M051 M328 M342 M125,END END END END,1 1 3 1,4
seal_70,L-0008,Lothal,gharial,M099 M222 M099 M249,END CORE END END,3 0 3 1,4
seal_71,DK-0006,Dholavira,elephant,M016 M211 M342 M336,START END END END,2 1 3 1,4
seal_72,H-0021,Harappa,rhinoceros,M021 M162 M099 M342 M162,START END END END END,2 1 3 3 1,5
seal_73,L-0009,Lothal,zebu bull,M065 M267 M099 M305,END END END END,1 3 3 1,4
seal_74,H-0022,Harappa,unicorn,M012 M059,END LINK,1 1,2
seal_75,H-0023,Harappa,elephant,M052 M051 M211 M123 M342 M328,START END END CORE END END,2 1 1 0 3 1,6
seal_76,M-0028,Mohenjo-daro,zebu bull,M391 M267 M169 M089 M293,END END LINK END END,1 3 0 1 1,5
seal_77,M-0029,Mohenjo-daro,unicorn,M087 M087 M048 M336,END END END END,1 1 1 1,4
seal_78,H-0024,Harappa,elephant,M034 M089,START END,2 1,2
seal_79,H-0025,Harappa,script only,M041 M342 M328 M176,START END END END,2 3 1 3,4
seal_80,H-0026,Harappa,unicorn,M022 M051 M342 M176 M249,START END END END END,2 1 3 3 1,5
seal_81,H-0027,Harappa,script only,M031 M397 M012 M342 M089 M233,START CORE END END END END,2 0 1 3 1 1,6
seal_82,DK-0007,Dholavira,unicorn,M075 M162 M211 M233 M328 M051,START END END END END END,2 1 1 1 1 1,6
seal_83,M-0030,Mohenjo-daro,tiger,M011 M391 M176,START END END,2 1 3,3
seal_84,L-0010,Lothal,buffalo,M023 M211 M125,START END END,2 1 1,3
seal_85,H-0028,Harappa,unicorn,M017 M126 M267,START CORE END,2 0 3,3
seal_86,H-0029,Harappa,unicorn,M087 M367 M099,END END END,1 1 3,3
seal_87,M-0031,Mohenjo-daro,tiger,M040 M342 M391,START END END,2 3 1,3
seal_88,H-0030,Harappa,zebu bull,M030 M211 M342 M347 M293,START END END LINK END,2 1 3 0 1,5
seal_89,M-0032,Mohenjo-daro,rhinoceros,M328 M342 M176 M342,END END END END,1 3 3 3,4
seal_90,H-0031,Harappa,rhinoceros,M099 M346 M233,END CORE END,3 0 1,3
seal_91,H-0032,Harappa,unicorn,M051 M267 M211 M328,END END END END,1 3 1 1,4
seal_92,M-0033,Mohenjo-daro,unicorn,M342 M312 M176 M211,END CORE END END,3 0 3 1,4
seal_93,H-0033,Harappa,zebu bull,M038 M367 M211 M176 M065 M233,START END END END END END,2 1 1 3 1 1,6
seal_94,H-0034,Harappa,script only,M043 M336 M087 M233 M391,START END END END END,2 1 1 1 1,5
seal_95,H-0035,Harappa,zebu bull,M062 M089 M391,START END END,2 1 1,3
seal_96,M-0034,Mohenjo-daro,rhinoceros,M068 M342 M304 M099 M342 M176 M391,START END CORE END END END END,2 3 0 3 3 3 1,7
seal_97,M-0035,Mohenjo-daro,unicorn,M021 M211 M087 M233,START END END END,2 1 1 1,4
seal_98,M-0036,Mohenjo-daro,zebu bull,M073 M176 M211 M125,START END END END,2 3 1 1,4
seal_99,DK-0008,Dholavira,tiger,M099 M134 M201 M233,END CORE CORE END,3 0 0 1,4
seal_100,H-0036,Harappa,gharial,M052 M355 M391,START CORE END,2 0 1,3
seal_101,M-0037,Mohenjo-daro,gharial,M049 M391 M336 M413 M342,START END END CORE END,2 1 1 0 3,5
seal_102,RGR-0002,Rakhigarhi,buffalo,M051 M342 M065,END END END,1 3 1,3
seal_103,M-0038,Mohenjo-daro,zebu bull,M040 M342,START END,2 3,2
seal_104,K-0003,Kalibangan,script only,M066 M135 M297 M087 M267,START CORE CORE END END,2 0 0 1 3,5
seal_105,H-0037,Harappa,geometric,M034 M342 M176 M089,START END END END,2 3 3 1,4
seal_106,H-0038,Harappa,unicorn,M059 M089,LINK END,1 1,2
seal_107,M-0039,Mohenjo-daro,rhinoceros,M067 M367,START END,2 1,2
seal_108,SK-0003,Surkotada,zebu bull,M051 M328 M374 M065 M336,END END LINK END END,1 1 0 1 1,5
seal_109,M-0040,Mohenjo-daro,buffalo,M023 M012,START END,2 1,2
seal_110,K-0004,Kalibangan,rhinoceros,M060 M350 M391,START CORE END,2 0 1,3
seal_111,H-0039,Harappa,zebu bull,M012 M087 M162,END END END,1 1 1,3
seal_112,C-0004,Chanhu-daro,unicorn,M024 M178 M125 M336,START CORE END END,2 0 1 1,4
seal_113,K-0005,Kalibangan,unicorn,M040 M328,START END,2 1,2
seal_114,L-0011,Lothal,tiger,M004 M342 M211,START END END,2 3 1,3
seal_115,M-0041,Mohenjo-daro,zebu bull,M293 M176,END END,1 3,2
seal_116,H-0040,Harappa,script only,M076 M293,START END,2 1,2
seal_117,K-0006,Kalibangan,buffalo,M031 M089,START END,2 1,2
seal_118,H-0041,Harappa,unicorn,M053 M354 M051,START CORE END,2 0 1,3
seal_119,H-0042,Harappa,unicorn,M065 M059,END LINK,1 1,2
seal_120,M-0042,Mohenjo-daro,buffalo,M011 M048 M293 M129 M305,START END END CORE END,2 1 1 0 1,5
seal_121,H-0043,Harappa,unicorn,M036 M233,START END,2 1,2
seal_122,C-0005,Chanhu-daro,zebu bull,M062 M059 M127 M089,START LINK LINK END,2 1 0 1,4
seal_123,M-0043,Mohenjo-daro,geometric,M043 M120 M099 M342 M176,START CORE END END END,2 0 3 3 3,5
seal_124,H-0044,Harappa,elephant,M044 M391 M267 M087,START END END END,2 1 3 1,4
seal_125,SK-0004,Surkotada,tiger,M089 M293 M226 M336,END END CORE END,1 1 0 1,4
seal_126,H-0045,Harappa,script only,M026 M252 M202 M220,START LINK CORE END,2 0 0 1,4
seal_127,M-0044,Mohenjo-daro,geometric,M079 M293 M391 M336,START END END END,2 1 1 1,4
seal_128,H-0046,Harappa,unicorn,M018 M233 M051 M135 M391,START END END CORE END,2 1 1 0 1,5
seal_129,H-0047,Harappa,elephant,M039 M176 M048,START END END,2 3 1,3
seal_130,M-0045,Mohenjo-daro,tiger,M293 M336 M406 M211 M267,END END CORE END END,1 1 0 1 3,5
