test_identity,best_train_identity,best_score,assigned_cluster,num_valid_matches
M168,M332,0.3107,1.0,3
M332,M270,0.3085,4.0,6
M375,M262,0.2917,10.0,1
M143,M185,0.27,26.0,3
M345,M177,0.2583,13.0,2
M237,M329,0.2571,8.0,10
M262,M304,0.25,6.0,1
M357,M270,0.2467,4.0,1
M374,M329,0.2367,8.0,11
M329,M223,0.2333,16.0,3
M304,M416,0.2225,4.0,4
M059,M304,0.2209,6.0,15
M254,M262,0.2167,10.0,1
M151,M365,0.2123,25.0,4
M153,M222,0.2091,21.0,8
M383,M345,0.2084,20.0,2
M177,M108,0.1906,3.0,3
M272,M345,0.1875,20.0,3
M347,M149,0.1857,14.0,3
M102,M231,0.1857,24.0,3
M365,M237,0.1808,4.0,1
M198,M375,0.175,4.0,1
M223,M386,0.175,19.0,3
M137,M401,0.1746,2.0,1
M128,M329,0.17,8.0,2
M178,M357,0.16,4.0,2
M386,M059,0.1294,3.0,1
M235,M416,0.1244,4.0,1
M185,,0.0,,0
M295,,0.0,,0
M231,,0.0,,0
M149,,0.0,,0
M321,,0.0,,0
M355,,0.0,,0
M351,,0.0,,0
M402,,0.0,,0
M412,,0.0,,0
