symbol,anchor_role,anchor_confidence,avg_position,position_variance,count,context_diversity,is_identity_core
M059,HUB_AUTHORITY,1.0,0.578,0.1482,222,97,True
M062,CLASSIFIER,0.96,0.0,0.0,28,18,False
M220,CASE_MARKER,0.9488,0.992,0.004,62,52,False
M305,CASE_MARKER,0.9482,0.988,0.0057,83,57,False
M249,CASE_MARKER,0.9472,0.981,0.01,73,54,False
M073,CLASSIFIER,0.9171,0.0,0.0,25,18,False
M045,CLASSIFIER,0.9029,0.0,0.0,24,17,False
M079,CLASSIFIER,0.9029,0.0,0.0,24,18,False
M013,CLASSIFIER,0.8886,0.0,0.0,23,15,False
M016,CLASSIFIER,0.8886,0.0,0.0,23,14,False
M022,CLASSIFIER,0.8743,0.0,0.0,22,15,False
M008,CLASSIFIER,0.8743,0.0,0.0,22,15,False
M061,CLASSIFIER,0.8743,0.0,0.0,22,13,False
M052,CLASSIFIER,0.8743,0.0,0.0,22,19,False
M058,CLASSIFIER,0.86,0.0,0.0,21,15,False
M060,CLASSIFIER,0.8457,0.0,0.0,20,13,False
M019,CLASSIFIER,0.8457,0.0,0.0,20,15,False
M003,CLASSIFIER,0.8314,0.0,0.0,19,13,False
M035,CLASSIFIER,0.8314,0.0,0.0,19,12,False
M080,CLASSIFIER,0.8314,0.0,0.0,19,16,False
M044,CLASSIFIER,0.8314,0.0,0.0,19,15,False
M053,CLASSIFIER,0.8314,0.0,0.0,19,16,False
M056,CLASSIFIER,0.8314,0.0,0.0,19,12,False
M030,CLASSIFIER,0.8171,0.0,0.0,18,11,False
M017,CLASSIFIER,0.8171,0.0,0.0,18,12,False
M077,CLASSIFIER,0.8171,0.0,0.0,18,16,False
M057,CLASSIFIER,0.8171,0.0,0.0,18,14,False
M039,CLASSIFIER,0.8171,0.0,0.0,18,16,False
M020,CLASSIFIER,0.8171,0.0,0.0,18,17,False
M018,CLASSIFIER,0.8171,0.0,0.0,18,13,False
M063,CLASSIFIER,0.8171,0.0,0.0,18,14,False
M038,CLASSIFIER,0.8029,0.0,0.0,17,16,False
M027,CLASSIFIER,0.8029,0.0,0.0,17,12,False
M041,CLASSIFIER,0.8029,0.0,0.0,17,13,False
M034,CLASSIFIER,0.8029,0.0,0.0,17,15,False
M004,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M014,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M026,CLASSIFIER,0.8029,0.0,0.0,17,15,False
M078,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M010,CLASSIFIER,0.8029,0.0,0.0,17,13,False
M070,CLASSIFIER,0.8029,0.0,0.0,17,14,False
M050,CLASSIFIER,0.8029,0.0,0.0,17,13,False
M025,CLASSIFIER,0.8029,0.0,0.0,17,12,False
M069,CLASSIFIER,0.7886,0.0,0.0,16,15,False
M002,CLASSIFIER,0.7886,0.0,0.0,16,10,False
M037,CLASSIFIER,0.7886,0.0,0.0,16,11,False
M031,CLASSIFIER,0.7886,0.0,0.0,16,10,False
M021,CLASSIFIER,0.7886,0.0,0.0,16,11,False
M066,CLASSIFIER,0.7886,0.0,0.0,16,11,False
M023,CLASSIFIER,0.7886,0.0,0.0,16,12,False
M071,CLASSIFIER,0.7886,0.0,0.0,16,12,False
M009,CLASSIFIER,0.7886,0.0,0.0,16,14,False
M006,CLASSIFIER,0.7743,0.0,0.0,15,12,False
M005,CLASSIFIER,0.7743,0.0,0.0,15,11,False
M015,CLASSIFIER,0.7743,0.0,0.0,15,14,False
M036,CLASSIFIER,0.7743,0.0,0.0,15,11,False
M067,CLASSIFIER,0.7743,0.0,0.0,15,13,False
M011,CLASSIFIER,0.7743,0.0,0.0,15,13,False
M075,CLASSIFIER,0.76,0.0,0.0,14,11,False
M001,CLASSIFIER,0.76,0.0,0.0,14,11,False
M047,CLASSIFIER,0.7457,0.0,0.0,13,14,False
M049,CLASSIFIER,0.7457,0.0,0.0,13,10,False
M068,CLASSIFIER,0.7457,0.0,0.0,13,9,False
M040,CLASSIFIER,0.7457,0.0,0.0,13,10,False
M024,CLASSIFIER,0.7457,0.0,0.0,13,11,False
M081,CLASSIFIER,0.7457,0.0,0.0,13,12,False
M042,CLASSIFIER,0.7457,0.0,0.0,13,11,False
M072,CLASSIFIER,0.7314,0.0,0.0,12,8,False
M054,CLASSIFIER,0.7314,0.0,0.0,12,12,False
M074,CLASSIFIER,0.7314,0.0,0.0,12,12,False
